"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"169",169,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10945141","OR",0.018,0.003,-0.058,0.052
"170",170,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs17554906","OR",0.014,0.003,-0.081,0.045
"171",171,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs619087","OR",0.014,0.003,-0.007,0.045
"172",172,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6568832","OR",0.019,0.003,0.045,0.052
"173",173,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12195240","OR",0.025,0.003,0.008,0.05
"174",174,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6936160","OR",0.02,0.003,0.021,0.049
"175",175,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12530388","OR",-0.018,0.003,0.043,0.045
"176",176,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3800227","OR",0.017,0.003,-0.003,0.051
"177",177,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs118202","OR",-0.037,0.003,-0.04,0.057
"178",178,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs73008357","OR",-0.022,0.004,-0.047,0.07
"179",179,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9331343","OR",-0.014,0.003,0.037,0.045
"180",180,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10698713","OR",-0.034,0.006,-0.154,0.102
"181",181,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1737329","OR",0.017,0.003,0.027,0.051
"182",182,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10272990","OR",-0.021,0.003,-0.015,0.047
"183",183,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6948707","OR",0.024,0.003,-0.015,0.045
"184",184,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10259715","OR",-0.019,0.003,0.98,0.696
"185",185,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13237637","OR",-0.024,0.003,-0.079,0.045
"186",186,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs79631993","OR",-0.017,0.003,0.274,0.587
"187",187,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7809303","OR",-0.021,0.003,0.063,0.047
"188",188,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7802996","OR",-0.021,0.003,-0.014,0.06
"189",189,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1030015","OR",0.014,0.003,0.017,0.045
"190",190,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4727189","OR",0.015,0.003,0.09,0.047
"191",191,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs76841737","OR",-0.023,0.004,0.009,0.072
"192",192,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11768481","OR",-0.019,0.003,-0.046,0.048
"193",193,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1799068","OR",0.017,0.003,0.046,0.045
"194",194,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13437771","OR",-0.027,0.004,0.084,0.06
"195",195,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11766326","OR",-0.018,0.003,0.079,0.045
"196",196,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6968380","OR",-0.023,0.003,-0.022,0.048
"197",197,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs112913817","OR",0.078,0.012,0.249,0.205
"198",198,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10233018","OR",0.025,0.003,0.07,0.045
"199",199,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10953957","OR",0.014,0.003,0.046,0.046
"200",200,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs77283305","OR",-0.015,0.003,-0.029,0.048
"201",201,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10279261","OR",-0.019,0.003,0.01,0.046
"202",202,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1561112","OR",-0.015,0.003,-0.048,0.046
"203",203,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2952251","OR",0.016,0.003,-0.021,0.051
"204",204,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4326350","OR",-0.018,0.003,-0.002,0.045
"205",205,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11780471","OR",-0.039,0.005,-0.002,0.092
"206",206,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11783093","OR",-0.047,0.003,-0.079,0.062
"207",207,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1565735","OR",-0.019,0.003,-0.105,0.058
"208",208,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7836565","OR",-0.016,0.003,0.019,0.05
"209",209,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13261666","OR",-0.02,0.003,-0.034,0.045
"210",210,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3850736","OR",0.019,0.003,0.059,0.045
"211",211,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2063976","OR",-0.02,0.003,-0.041,0.047
"212",212,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6993429","OR",-0.019,0.003,0.032,0.045
"213",213,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6986430","OR",-0.024,0.003,-0.144,0.055
"214",214,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9987376","OR",-0.02,0.003,-0.003,0.045
"215",215,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs290601","OR",0.016,0.003,-0.004,0.05
"216",216,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3847244","OR",0.019,0.003,-0.065,0.045
"217",217,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11791671","OR",0.028,0.005,-0.026,0.09
"218",218,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7024924","OR",0.019,0.003,0.035,0.058
"219",219,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6474609","OR",-0.016,0.003,0.012,0.046
"220",220,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1931431","OR",0.018,0.003,0.001,0.045
"221",221,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7867822","OR",-0.015,0.003,-0.006,0.048
"222",222,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10966092","OR",-0.02,0.003,-0.02,0.051
"223",223,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10969352","OR",0.014,0.003,0.058,0.045
"224",224,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4877285","OR",-0.018,0.003,0.024,0.048
"225",225,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1930371","OR",-0.017,0.003,0.144,0.05
"226",226,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2378662","OR",0.015,0.003,-0.012,0.045
"227",227,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1927901","OR",-0.014,0.003,0.107,0.045
"228",228,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4837631","OR",-0.015,0.003,0.026,0.045
"229",229,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1759433","OR",0.015,0.003,0.023,0.045
"230",230,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs34553878","OR",0.025,0.004,-0.036,0.073
"231",231,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7026534","OR",-0.017,0.003,0.057,0.049
"232",232,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10858334","OR",0.023,0.004,0.154,0.061
"233",233,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10905461","OR",-0.016,0.003,0.016,0.052
"234",234,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7920501","OR",-0.016,0.003,-0.063,0.045
"235",235,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1291821","OR",0.014,0.003,-0.022,0.045
"236",236,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11258417","OR",-0.015,0.003,-0.038,0.046
"237",237,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7072776","OR",-0.022,0.003,0.061,0.051
"238",238,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2796793","OR",0.014,0.003,0.043,0.045
"239",239,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1733760","OR",0.015,0.003,-0.005,0.045
"240",240,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7921378","OR",-0.023,0.003,-0.044,0.045
"241",241,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7901883","OR",-0.019,0.003,0.02,0.053
"242",242,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11594623","OR",0.027,0.003,-0.084,0.053
"243",243,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11191269","OR",0.018,0.003,-0.025,0.056
"244",244,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs28408682","OR",0.017,0.003,-0.027,0.045
"245",245,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12244388","OR",0.026,0.003,0.082,0.047
"246",246,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs111842178","OR",0.022,0.003,-1243.033,19161.644
"247",247,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs34970111","OR",-0.015,0.003,-0.032,0.045
"248",248,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9787523","OR",-0.016,0.003,-0.087,0.046
"249",249,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11192347","OR",-0.026,0.004,0.003,0.071
"250",250,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10885480","OR",-0.019,0.003,0.034,0.049
"251",251,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4752018","OR",0.019,0.003,-0.021,0.053
"252",252,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9423279","OR",-0.019,0.003,-0.038,0.048
"253",253,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6265","OR",-0.029,0.003,-0.088,0.058
"254",254,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4275621","OR",-0.021,0.003,0.046,0.046
"255",255,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62618693","OR",-0.035,0.006,-0.143,0.114
"256",256,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2939756","OR",-0.016,0.003,0.008,0.045
"257",257,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1381775","OR",-0.016,0.003,0.021,0.049
"258",258,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2959084","OR",0.017,0.003,0.002,0.049
"259",259,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3740977","OR",0.019,0.003,0.111,0.058
"260",260,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs61886926","OR",-0.018,0.003,-0.007,0.046
"261",261,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs61884449","OR",0.02,0.004,-0.079,0.064
"262",262,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs644740","OR",-0.014,0.003,0.024,0.045
